,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
45,NFO,86005,25,BANKNIFTY,BANKNIFTY28SEP23C49500,28-SEP-2023,OPTIDX,CE,49500.0,0.05,
46,NFO,86004,25,BANKNIFTY,BANKNIFTY28SEP23P48000,28-SEP-2023,OPTIDX,PE,48000.0,0.05,
47,NFO,86003,25,BANKNIFTY,BANKNIFTY28SEP23C48000,28-SEP-2023,OPTIDX,CE,48000.0,0.05,
48,NFO,86002,25,BANKNIFTY,BANKNIFTY28SEP23P46500,28-SEP-2023,OPTIDX,PE,46500.0,0.05,
49,NFO,86001,25,BANKNIFTY,BANKNIFTY28SEP23C46500,28-SEP-2023,OPTIDX,CE,46500.0,0.05,
50,NFO,86000,25,BANKNIFTY,BANKNIFTY28SEP23P45000,28-SEP-2023,OPTIDX,PE,45000.0,0.05,
51,NFO,85999,25,BANKNIFTY,BANKNIFTY28SEP23C45000,28-SEP-2023,OPTIDX,CE,45000.0,0.05,
52,NFO,85998,25,BANKNIFTY,BANKNIFTY28SEP23P43500,28-SEP-2023,OPTIDX,PE,43500.0,0.05,
53,NFO,85997,25,BANKNIFTY,BANKNIFTY28SEP23C43500,28-SEP-2023,OPTIDX,CE,43500.0,0.05,
54,NFO,85996,25,BANKNIFTY,BANKNIFTY28SEP23P42000,28-SEP-2023,OPTIDX,PE,42000.0,0.05,
55,NFO,85995,25,BANKNIFTY,BANKNIFTY28SEP23C42000,28-SEP-2023,OPTIDX,CE,42000.0,0.05,
56,NFO,85994,25,BANKNIFTY,BANKNIFTY28SEP23P40500,28-SEP-2023,OPTIDX,PE,40500.0,0.05,
57,NFO,85993,25,BANKNIFTY,BANKNIFTY28SEP23C40500,28-SEP-2023,OPTIDX,CE,40500.0,0.05,
58,NFO,85992,25,BANKNIFTY,BANKNIFTY28SEP23P39000,28-SEP-2023,OPTIDX,PE,39000.0,0.05,
59,NFO,85991,25,BANKNIFTY,BANKNIFTY28SEP23C39000,28-SEP-2023,OPTIDX,CE,39000.0,0.05,
